Owner first name,Owner last name,Street address,City,State,Zip code,Listing price,Phone number,DNC (Do Not Call List)
Jennifer,Brown,9263 Jones Extension Suite 106,Austin,TX,76412,171636.45,+1-920-824-8629,NO
Ashley,Williams,1525 Ward Forest Suite 294,Austin,TX,77421,445741.86,+1-635-985-2065,NO
Holly,Davis,819 Smith Extensions Apt. 198,Austin,TX,79750,688829.98,+1-222-908-2614,NO
Ronald,Lee,67305 Stephanie Harbor,Austin,TX,78572,912139.72,+1-601-945-4291,NO
Patricia,Gonzalez,652 Robert Via Suite 736,Austin,TX,78177,219545.03,+1-425-793-5267,NO
Heather,Bauer,220 Abbott Unions Apt. 231,Austin,TX,76102,600903.13,+1-893-531-9749,NO
Elizabeth,Hart,474 Kevin Trafficway,Austin,TX,78608,499151.3,+1-910-174-7159,NO
Edward,Adams,0121 Richard Coves Apt. 919,Austin,TX,79143,359272.32,+1-624-298-4320,NO
Molly,Golden,5146 Castillo Canyon,Austin,TX,77554,291672.76,+1-606-532-9334,NO
Amanda,Gonzalez,389 Berry Walk Suite 439,Austin,TX,77489,257103.6,+1-407-887-5208,NO
Jimmy,Garrett,1214 Kathy Square Apt. 323,Austin,TX,77567,522260.66,+1-494-312-3584,NO
Thomas,Thomas,14519 Danny Square,Austin,TX,79328,156686.07,+1-618-689-8152,NO
Kathryn,Wong,920 Barrera Plaza Apt. 619,Austin,TX,76706,625620.65,+1-380-832-1226,NO
Roger,Ramirez,12375 Riley Canyon Apt. 319,Austin,TX,75677,170241.8,+1-801-521-4192,NO
Stephanie,Flores,23249 Mackenzie Via Suite 624,Austin,TX,75629,542417.96,+1-399-346-7103,NO
Brett,Cox,4806 Smith Village,Austin,TX,78051,731477.64,+1-239-102-7576,NO
David,Gilbert,1344 Johnathan Overpass,Austin,TX,78904,293844.21,+1-420-226-4251,NO
Monica,Frye,639 Hernandez Spring Apt. 746,Austin,TX,77950,215977.71,+1-969-857-9342,NO
Nathan,Hopkins,731 Bryce Greens Apt. 042,Austin,TX,76103,516329.64,+1-206-106-1173,NO
Craig,Contreras,25498 Donna Turnpike,Austin,TX,78600,568392.91,+1-815-673-9830,NO
Sarah,Price,792 Cruz Drive,Austin,TX,76955,720006.21,+1-750-146-2940,NO
Devin,Adkins,2753 Montgomery Mountain,Austin,TX,76714,563636.46,+1-880-756-9280,NO
Samuel,Lopez,0497 Hendricks Terrace Suite 489,Austin,TX,79085,502779.53,+1-634-293-4503,NO
Michael,Lee,070 Margaret Motorway,Austin,TX,78425,911306.92,+1-461-937-4349,NO
Clinton,Walker,98426 Kelly Summit Apt. 156,Austin,TX,78875,677591.48,+1-570-129-7722,NO
Regina,Benjamin,99930 Shepherd Branch,Austin,TX,76728,874283.08,+1-933-818-8030,NO
Michael,Erickson,614 Newton Lodge,Austin,TX,76318,675426.8,+1-341-490-3208,NO
Robert,Harvey,134 Wallace Springs Apt. 277,Austin,TX,76165,486453.53,+1-313-539-4037,NO
Christopher,Frazier,843 Cindy Brook Apt. 895,Austin,TX,77762,256547.68,+1-477-571-2393,NO
Gordon,Hernandez,7189 Ortiz Prairie,Austin,TX,78420,961580.78,+1-422-712-4614,NO
Corey,Jones,03914 Jennifer Plaza,Austin,TX,77777,370089.65,+1-592-698-3352,NO
Lawrence,Ruiz,806 Lewis Lakes Apt. 664,Austin,TX,79871,522246.51,+1-337-568-6888,NO
Pamela,Rowland,48069 Nicholas Mountain,Austin,TX,76377,387821.99,+1-836-286-3141,NO
Gary,Simmons,764 Rivera Grove,Austin,TX,77898,134570.19,+1-336-214-1460,NO
Daniel,Griffin,9458 Scott Knoll Apt. 097,Austin,TX,79702,349516.2,+1-979-326-9957,NO
Cynthia,Wilcox,02885 Campbell Radial Suite 847,Austin,TX,77897,800722.29,+1-731-811-6010,NO
Patricia,Robinson,4523 Arthur Village Suite 037,Austin,TX,75923,710301.25,+1-970-621-1445,NO
Shane,Williamson,7227 Beltran Port Suite 145,Austin,TX,78518,814504.66,+1-538-215-2372,NO
Debra,Wilkins,7653 Blevins River Suite 233,Austin,TX,78360,231148.85,+1-208-290-6459,NO
Dalton,Grimes,448 Martinez Alley Suite 355,Austin,TX,78407,903324.01,+1-388-787-7558,NO
Joyce,Schwartz,120 Benson Bridge Apt. 018,Austin,TX,75574,143715.94,+1-831-881-7206,NO
Bonnie,Vaughan,839 Stacey Throughway Apt. 629,Austin,TX,77101,982055.26,+1-401-564-8963,NO
Renee,Owens,56037 Mejia Locks,Austin,TX,76753,615664.22,+1-351-397-3595,NO
Amy,Johnson,31536 Jerry Unions,Austin,TX,76601,347172.5,+1-336-445-8895,NO
Brian,Maxwell,77025 Vargas Village Apt. 597,Austin,TX,79588,654448.4,+1-717-586-3183,NO
Natalie,Sanchez,604 Jeffrey Vista,Austin,TX,75850,366002.54,+1-492-138-9208,NO
Robin,Hopkins,6050 Steven Run,Austin,TX,79981,350920.19,+1-802-406-4960,NO
Tammy,Cross,643 Duncan Islands,Austin,TX,76340,166623.94,+1-536-138-1176,NO
James,Carpenter,9834 Jennifer Creek Suite 190,Austin,TX,78199,377228.03,+1-591-452-3749,NO
Stephen,Smith,449 Ralph Motorway Suite 832,Austin,TX,77689,999293.15,+1-800-238-5684,NO
Joseph,Coleman,92234 Chad Drives Suite 044,Austin,TX,75968,188044.59,+1-567-555-9837,NO
Valerie,Yu,49892 Griffin Pass Suite 075,Austin,TX,76581,865377.01,+1-957-795-1654,NO
Christopher,Mathis,961 Rosales Fork Suite 066,Austin,TX,77520,150863.26,+1-791-935-9621,NO
Melanie,Lewis,883 Richard Forges,Austin,TX,77734,179847.89,+1-469-509-6882,NO
Jennifer,Rivers,3615 Jeffrey Squares,Austin,TX,78730,966361.3,+1-521-694-8540,NO
Rachel,Robbins,777 Hebert Flats Apt. 894,Austin,TX,78708,643318.55,+1-333-308-4946,NO
Jacob,Rivera,852 Alicia Wells,Austin,TX,78800,791418.11,+1-747-919-8771,NO
Tiffany,Brooks,401 Leblanc Drive,Austin,TX,78310,417194.66,+1-980-620-1574,NO
David,Raymond,5148 Howard Path,Austin,TX,77413,430343.28,+1-525-942-2724,NO
Sean,Watson,582 Archer Orchard,Austin,TX,76830,601748.76,+1-392-668-8215,NO
Tara,Smith,78855 Susan Crest Suite 616,Austin,TX,78576,255619.7,+1-265-185-3104,NO
Cameron,Pugh,501 Vaughn Harbors,Austin,TX,75985,664875.48,+1-421-930-3964,NO
Richard,Allen,806 Miller Common,Austin,TX,75539,508075.82,+1-327-316-7978,NO
Rachel,Rose,5677 Estes Cliffs Apt. 908,Austin,TX,79387,341998.42,+1-886-757-9118,NO
Christopher,Bradshaw,135 Jennifer Road Apt. 870,Austin,TX,75963,864415.75,+1-370-989-3337,NO
Cynthia,Lang,647 Peter Throughway,Austin,TX,76443,421661.65,+1-372-370-6617,NO
Jeremy,Ali,313 William Coves Suite 283,Austin,TX,79601,305667.15,+1-890-797-9442,NO
Jessica,Marquez,3017 Mcbride Extensions Apt. 454,Austin,TX,79304,790239.36,+1-891-904-7375,NO
Lisa,Sampson,31634 Hart Village,Austin,TX,78930,909674.56,+1-325-733-2458,NO
Michael,Rodriguez,4904 Christian Falls Suite 257,Austin,TX,78161,298619.77,+1-848-186-5631,NO
Dakota,Chandler,3031 Henderson Overpass,Austin,TX,77852,131908.51,+1-850-881-4653,NO
Kathryn,Stone,1707 Douglas Greens,Austin,TX,79096,765859.67,+1-533-730-7475,NO
